Merchant,Category
Swiggy,Food & Dining
Zomato,Food & Dining
Dominos Pizza,Food & Dining
McDonalds,Food & Dining
KFC,Food & Dining
Burger King,Food & Dining
Pizza Hut,Food & Dining
Cafe Coffee Day,Food & Dining
Starbucks,Food & Dining
Hotel Saravana Bhavan,Food & Dining
Biryani Blues,Food & Dining
Barbeque Nation,Food & Dining
Subway,Food & Dining
Paid to Ravi Hotel,Food & Dining
To Annapoorna Restaurant,Food & Dining
To Murugan Idli Shop,Food & Dining
Dunzo food order,Food & Dining
DMart,Groceries
BigBasket,Groceries
Blinkit,Groceries
Zepto,Groceries
Reliance Smart,Groceries
More Supermarket,Groceries
Big Bazaar,Groceries
Spencer Retail,Groceries
Nilgiris Supermarket,Groceries
Grocery store,Groceries
Supermarket purchase,Groceries
Vegetables market,Groceries
To local kirana store,Groceries
to STORES,Groceries
Uber,Transportation
Ola,Transportation
Rapido,Transportation
Auto fare,Transportation
Petrol pump,Transportation
HP Petrol,Transportation
Indian Oil petrol,Transportation
BMTC bus pass,Transportation
Metro card recharge,Transportation
IRCTC train ticket,Transportation
IndiGo flight,Transportation
Air India ticket,Transportation
Parking fee,Transportation
Toll payment,Transportation
To cab driver Ramesh,Transportation
Amazon,Shopping
Flipkart,Shopping
Myntra,Shopping
Ajio,Shopping
Nykaa,Shopping
Meesho,Shopping
Snapdeal,Shopping
Decathlon,Shopping
H M clothing,Shopping
Westside mall,Shopping
Lifestyle store,Shopping
Croma electronics,Shopping
Vijay Sales,Shopping
Reliance Digital,Shopping
Online shopping,Shopping
Airtel postpaid,Bills & Utilities
Jio recharge,Bills & Utilities
Vodafone bill,Bills & Utilities
BSNL broadband,Bills & Utilities
BESCOM electricity,Bills & Utilities
TNEB electricity bill,Bills & Utilities
MSEDCL electricity,Bills & Utilities
Piped gas bill,Bills & Utilities
Water tax,Bills & Utilities
DTH recharge,Bills & Utilities
Tata Sky recharge,Bills & Utilities
Netflix subscription,Bills & Utilities
Amazon Prime,Bills & Utilities
Hotstar subscription,Bills & Utilities
Google One storage,Bills & Utilities
Society maintenance,Bills & Utilities
House rent,Bills & Utilities
Apollo Pharmacy,Healthcare
MedPlus,Healthcare
Netmeds,Healthcare
PharmEasy,Healthcare
Doctor consultation,Healthcare
Hospital OPD,Healthcare
Manipal Hospital,Healthcare
Fortis Hospital,Healthcare
Dental clinic,Healthcare
Diagnostic lab test,Healthcare
Thyrocare,Healthcare
Lybrate doctor fee,Healthcare
Gym membership,Healthcare
Yoga class fee,Healthcare
Medical store,Healthcare
Health insurance premium,Healthcare
BookMyShow,Entertainment
PVR Cinemas,Entertainment
INOX movie,Entertainment
Spotify,Entertainment
Apple Music,Entertainment
Steam game,Entertainment
PlayStation store,Entertainment
Ludo King in-app purchase,Entertainment
Escape room ticket,Entertainment
Concert ticket,Entertainment
Theme park entry,Entertainment
Cricket match ticket,Entertainment
To Priya,Transfer
To Rahul,Transfer
To Amit Kumar,Transfer
To Sundar,Transfer
Sent to Meena,Transfer
Paid to Karthik,Transfer
To Lakshmi,Transfer
To Vijay,Transfer
Family transfer,Transfer
Rent to landlord,Transfer
